"","Year_Birth","Education","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response"
"1",1954,"Graduation",1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0
"2",1965,"Graduation",0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0
"3",1984,"Graduation",1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0
"4",1981,"PhD",1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0
"5",1967,"Master",0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0
"6",1974,"PhD",1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1
"7",1950,"PhD",1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0
"8",1976,"Basic",0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0
"9",1952,"Master",1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0
"10",1987,"Graduation",0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0
"11",1946,"PhD",0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1
"12",1946,"Graduation",0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0
"13",1985,"2n Cycle",1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0
"14",1982,"Graduation",0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0
"15",1979,"Graduation",1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0
"16",1951,"Graduation",0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0
"17",1969,"Graduation",0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0
"18",1989,"Graduation",1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0
"19",1965,"PhD",0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0
"20",1989,"Master",0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0
"21",1963,"Master",0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
"22",1970,"Graduation",0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0
"23",1952,"PhD",0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1
"24",1946,"Master",0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0
"25",1951,"Master",1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0
"26",1970,"PhD",0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0
"27",1976,"2n Cycle",1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0
"28",1973,"Graduation",0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0
"29",1943,"PhD",0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1
"30",1980,"Graduation",0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0
"31",1985,"Master",1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0
"33",1975,"Master",1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0
"34",1976,"Graduation",0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0
"35",1968,"Graduation",1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0
"36",1954,"PhD",1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0
"37",1957,"Graduation",0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0
"38",1964,"Master",0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0
"39",1977,"Graduation",1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0
"40",1977,"Graduation",0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1
"41",1966,"Graduation",0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1
"42",1988,"Graduation",1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0
"44",1975,"Graduation",1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0
"45",1952,"Graduation",0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0
"46",1951,"PhD",0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0
"47",1948,"Graduation",0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0
"48",1971,"Graduation",1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1
"49",1967,"Graduation",1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0
"50",1979,"2n Cycle",0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1
"51",1970,"Graduation",1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0
"52",1954,"Master",0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0
"53",1975,"PhD",1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0
"54",1952,"Graduation",0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0
"55",1972,"Master",0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1
"56",1976,"Graduation",0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1
"57",1965,"Graduation",0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1
"58",1985,"Graduation",1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0
"59",1969,"Graduation",1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
"60",1963,"Master",0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
"61",1987,"Graduation",0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0
"62",1960,"Graduation",1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0
"63",1970,"Master",1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0
"64",1957,"Graduation",0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1
"65",1973,"Graduation",0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0
"66",1967,"Graduation",0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0
"68",1972,"Master",1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0
"69",1970,"PhD",1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0
"70",1983,"Graduation",1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0
"71",1960,"Graduation",0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0
"72",1972,"Graduation",1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0
"73",1951,"2n Cycle",0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0
"74",1959,"PhD",0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0
"75",1979,"Graduation",0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0
"76",1959,"Graduation",0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1
"77",1964,"Graduation",1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0
